FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
303,3,1,2,1,2,1,1,2,1,1,1,1,2,21,1818
304,5,2,3,2,,,,,,,,,,20,179
305,3,1,2,2,,,,,,,,,,27,379
306,5,2,3,1,2,1,2,1,1,1,1,1,1,32,322
307,2,1,1,1,2,2,1,2,1,1,1,2,1,30,5437
308,8,4,4,1,2,2,1,1,1,1,1,1,1,32,356
309,3,1,2,1,2,2,2,2,1,2,1,2,1,11,1744
310,4,3,1,1,2,2,2,2,1,2,3,1,3,3,258
311,1,1,0,2,,,,,,,,,,16,1938
312,2,1,1,2,,,,,,,,,,29,288
313,3,1,2,1,2,2,2,2,1,2,1,2,2,12,1114
314,2,1,1,2,,,,,,,,,,31,804
315,2,0,2,1,2,2,1,2,1,2,1,1,1,22,1261
316,7,1,6,1,2,2,2,2,1,2,1,1,1,12,1579
317,1,1,0,2,,,,,,,,,,18,754
318,4,2,2,1,2,2,1,2,1,2,1,1,1,27,785
319,2,1,1,2,,,,,,,,,,4,296
320,6,4,2,1,2,2,2,2,2,2,2,1,2,21,2713
321,5,2,3,1,2,2,1,2,1,1,1,1,1,5,1820
322,3,1,2,2,,,,,,,,,,23,674
323,2,1,1,1,2,2,1,2,1,2,2,2,2,11,3448
324,3,1,2,2,,,,,,,,,,16,838
325,6,4,2,1,2,2,1,2,1,1,1,1,1,7,999
326,4,2,2,1,2,2,2,2,1,1,1,1,1,29,312
327,2,1,1,1,2,2,1,2,1,2,2,2,2,16,1931
328,1,0,1,2,,,,,,,,,,26,1780
329,5,2,3,1,2,1,1,2,1,1,2,2,3,26,899
330,5,2,3,2,,,,,,,,,,7,404
331,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1022
332,5,4,1,1,1,2,1,2,1,2,1,1,1,20,1155
333,4,3,1,1,2,1,1,2,1,1,2,2,2,24,677
334,2,1,1,2,,,,,,,,,,14,3074
335,3,1,2,1,2,1,1,2,1,1,1,1,3,4,765
336,4,2,2,1,2,1,1,2,1,1,1,1,1,25,1188
337,1,0,1,2,,,,,,,,,,30,5568
338,7,4,3,1,2,2,1,2,1,1,1,1,1,9,2086
339,5,2,3,1,2,2,1,2,1,1,1,1,1,29,275
340,2,1,1,2,,,,,,,,,,1,441
341,5,3,2,1,2,1,1,1,1,1,2,1,1,6,304
342,2,1,1,2,,,,,,,,,,14,3074
343,2,0,2,2,,,,,,,,,,18,189
344,6,4,2,2,,,,,,,,,,4,54
345,4,2,2,1,2,2,1,1,1,1,1,3,3,16,1220
346,3,1,2,1,2,2,2,2,1,2,1,1,2,29,198
347,2,1,1,1,2,1,1,2,1,2,1,1,1,23,1914
348,2,1,1,2,,,,,,,,,,22,798
